numb,x,y,z
1,0,56.14,0
2,0,56.14,5
3,4.9,56.14,0
4,4.9,56.14,5
5,11.24,56.14,0
6,11.24,56.14,5
7,13.51,56.14,0
9,16.39,56.14,0
11,18.35,56.14,0
12,18.35,56.14,5
13,25.46,56.14,0
14,25.46,56.14,5
15,25.46,50.09,0
16,25.46,50.09,5
17,18.35,50.09,0
18,18.35,50.09,5
19,13.51,50.09,0
21,11.24,50.09,0
22,11.24,50.09,5
23,4.9,50.09,0
24,4.9,50.09,5
25,0,50.09,0
26,0,50.09,5
27,0,44.78,0
28,0,44.78,5
29,4.9,44.78,0
30,4.9,44.78,5
31,11.24,44.78,0
32,11.24,44.78,5
33,18.35,44.78,0
34,18.35,44.78,5
35,25.46,44.78,0
36,25.46,44.78,5
37,31.84,44.78,0
38,31.84,44.78,5
39,37.02,44.78,0
40,37.02,44.78,5
41,37.02,50.09,0
42,37.02,50.09,5
43,31.84,50.09,0
44,31.84,50.09,5
45,44.62,44.78,0
46,44.62,44.78,5
47,44.62,50.09,0
48,44.62,50.09,5
49,51.9,50.09,0
50,51.9,50.09,5
51,51.9,42.4776,0
52,51.9,42.4776,5
53,51.9,36.9912,0
54,51.9,36.9912,5
55,51.9,35.01,0
57,54.185,34.495,0
58,54.185,34.495,5
59,44.62,35.01,0
60,44.62,35.01,5
61,37.02,35.01,0
62,37.02,35.01,5
63,31.84,35.01,0
64,31.84,35.01,5
65,31.84,39.8954,0
66,31.84,39.8954,5
67,25.46,35.01,0
68,25.46,35.01,5
69,18.35,35.01,0
70,18.35,35.01,5
71,11.24,35.01,0
72,11.24,35.01,5
73,4.9,35.01,0
74,4.9,35.01,5
75,0,35.01,0
76,0,35.01,5
77,0,28.38,0
78,0,28.38,5
79,4.9,28.38,0
80,4.9,28.38,5
81,11.24,28.38,0
82,11.24,28.38,5
83,18.35,28.38,0
84,18.35,28.38,5
85,25.46,28.38,0
86,25.46,28.38,5
87,4.9,18.61,0
88,4.9,18.61,5
89,0,18.61,0
90,0,18.61,5
91,11.24,18.61,0
92,11.24,18.61,5
93,18.35,18.61,0
94,18.35,18.61,5
95,25.46,18.61,0
96,25.46,18.61,5
97,31.84,18.61,0
98,31.84,18.61,5
99,31.84,23.4941,0
100,31.84,23.4941,5
101,31.84,28.38,0
102,31.84,28.38,5
103,37.02,18.61,0
104,37.02,18.61,5
105,44.62,18.61,0
106,44.62,18.61,5
107,44.62,28.38,0
108,44.62,28.38,5
109,51.9,20.9089,0
110,51.9,20.9089,5
111,51.9,26.3988,0
112,51.9,26.3988,5
113,51.9,28.38,0
115,54.185,28.895,0
116,54.185,28.895,5
117,51.9,10.04,0
118,51.9,10.04,5
119,44.62,10.04,0
120,44.62,10.04,5
121,37.02,10.04,0
122,37.02,10.04,5
123,31.84,10.04,0
124,31.84,10.04,5
125,31.84,0,0
126,31.84,0,5
127,25.46,0,0
128,25.46,0,5
129,18.35,0,0
130,18.35,0,5
131,11.24,0,0
132,11.24,0,5
133,4.9,0,0
134,4.9,0,5
135,0,0,0
136,0,0,5
137,0,10.04,0
138,0,10.04,5
139,4.9,10.04,0
140,4.9,10.04,5
141,11.24,10.04,0
142,11.24,10.04,5
143,18.35,10.04,0
144,18.35,10.04,5
145,25.46,10.04,0
146,25.46,10.04,5
147,4.9,13.7344,0
148,4.9,13.7344,5
149,4.9,50.09,9.68
150,11.24,50.09,9.68
151,13.51,50.09,9.68
152,13.51,56.14,9.68
153,16.39,56.14,9.68
154,18.35,50.09,9.68
155,25.46,50.09,9.68
156,31.84,50.09,9.68
157,37.02,50.09,9.68
158,44.62,50.09,9.68
159,51.9,50.09,9.68
160,51.9,42.4776,9.68
161,51.9,36.9912,9.68
162,51.9,20.9089,9.68
163,51.9,10.04,9.68
164,44.62,10.04,9.68
165,37.02,10.04,9.68
166,31.84,10.04,9.68
167,25.46,10.04,9.68
168,18.35,10.04,9.68
169,11.24,10.04,9.68
170,4.9,10.04,9.68
171,4.9,13.7344,9.68
172,4.9,18.61,9.68
173,4.9,28.38,9.68
174,4.9,35.01,9.68
175,4.9,44.78,9.68
176,11.24,44.78,9.68
177,18.35,44.78,9.68
178,25.46,44.78,9.68
179,31.84,44.78,9.68
180,37.02,44.78,9.68
181,44.62,44.78,9.68
182,31.84,39.8954,9.68
183,31.84,35.01,9.68
184,25.46,35.01,9.68
185,18.35,35.01,9.68
186,11.24,28.38,9.68
187,18.35,28.38,9.68
188,31.84,23.4941,9.68
189,31.84,18.61,9.68
190,37.02,18.61,9.68
191,44.62,18.61,9.68
192,25.46,18.61,9.68
193,18.35,18.61,9.68
194,11.24,18.61,9.68
195,37.02,28.38,5
196,11.24,35.01,9.68
197,31.84,28.38,9.68
198,25.46,28.38,9.68
204,51.9,26.3988,9.68
225,20.1788,28.38,5
247,38.1999,35.805,9.68
248,38.1999,35.805,10.5454
249,30.251,35.805,9.68
250,30.251,35.805,12.6061
268,30.251,35.805,10.5454
280,38.1999,27.585,9.68
281,38.1999,27.585,10.5454
282,30.251,27.585,9.68
283,30.251,27.585,12.6061
298,30.251,27.585,10.5454
305,37.02,28.38,0
