UserINode,UserJNode,INode,JNode,I_Z,J_Z,Max Drift X,Max Drift Y,Series,LoadCase
1,2,1,2,-5,0,0.00507025,0.00417026,Level1,gm10RSN1119_KOBE_TAZ000
1,2,1,2,-5,0,0.00132543,0.00163011,Level1,gm11RSN1528_CHICHI_TCU101-E
1,2,1,2,-5,0,0.00254348,0.00175053,Level1,gm1RSN6_IMPVALL.I_I-ELC180
1,2,1,2,-5,0,0.00158529,0.00142381,Level1,gm2RSN4458_MONTENE.GRO_ULO000
1,2,1,2,-5,0,0.00165947,0.00243344,Level1,gm3RSN165_IMPVALL.H_H-CHI012
1,2,1,2,-5,0,0.00421425,0.00200072,Level1,gm4RSN723_SUPER.B_B-PTS225
1,2,1,2,-5,0,0.00398354,0.00253494,Level1,gm5RSN779_LOMAP_LGP000
1,2,1,2,-5,0,0.00333345,0.00490207,Level1,gm6RSN828_CAPEMEND_PET000
1,2,1,2,-5,0,0.00501996,0.00372045,Level1,gm7RSN1086_NORTHR_SYL090
1,2,1,2,-5,0,0.00250091,0.0015637,Level1,gm8RSN949_NORTHR_ARL090
1,2,1,2,-5,0,0.00535532,0.00716879,Level1,gm9RSN1120_KOBE_TAK000
1,2,1,2,-5,0,0.013661,0.0112154,Level2,gm10RSN1119_KOBE_TAZ000
1,2,1,2,-5,0,0.00352489,0.00436622,Level2,gm11RSN1528_CHICHI_TCU101-E
1,2,1,2,-5,0,0.00684667,0.00467409,Level2,gm1RSN6_IMPVALL.I_I-ELC180
1,2,1,2,-5,0,0.0042896,0.00380266,Level2,gm2RSN4458_MONTENE.GRO_ULO000
1,2,1,2,-5,0,0.00451107,0.00653169,Level2,gm3RSN165_IMPVALL.H_H-CHI012
1,2,1,2,-5,0,0.0112393,0.00536248,Level2,gm4RSN723_SUPER.B_B-PTS225
1,2,1,2,-5,0,0.0108039,0.00683678,Level2,gm5RSN779_LOMAP_LGP000
1,2,1,2,-5,0,0.00901616,0.0131781,Level2,gm6RSN828_CAPEMEND_PET000
1,2,1,2,-5,0,0.0134671,0.0100246,Level2,gm7RSN1086_NORTHR_SYL090
1,2,1,2,-5,0,0.00678246,0.00420506,Level2,gm8RSN949_NORTHR_ARL090
1,2,1,2,-5,0,0.0143493,0.0191196,Level2,gm9RSN1120_KOBE_TAK000
1,2,1,2,-5,0,0.0221463,0.0182553,Level3,gm10RSN1119_KOBE_TAZ000
1,2,1,2,-5,0,0.00575452,0.00710217,Level3,gm11RSN1528_CHICHI_TCU101-E
1,2,1,2,-5,0,0.0111742,0.00761447,Level3,gm1RSN6_IMPVALL.I_I-ELC180
1,2,1,2,-5,0,0.00701169,0.00619734,Level3,gm2RSN4458_MONTENE.GRO_ULO000
1,2,1,2,-5,0,0.00736245,0.0106303,Level3,gm3RSN165_IMPVALL.H_H-CHI012
1,2,1,2,-5,0,0.0183075,0.00874515,Level3,gm4RSN723_SUPER.B_B-PTS225
1,2,1,2,-5,0,0.0175732,0.0111048,Level3,gm5RSN779_LOMAP_LGP000
1,2,1,2,-5,0,0.0145819,0.0201946,Level3,gm6RSN828_CAPEMEND_PET000
1,2,1,2,-5,0,0.0218775,0.0162939,Level3,gm7RSN1086_NORTHR_SYL090
1,2,1,2,-5,0,0.0110637,0.00684676,Level3,gm8RSN949_NORTHR_ARL090
1,2,1,2,-5,0,0.0231357,0.0249738,Level3,gm9RSN1120_KOBE_TAK000
1,2,1,2,-5,0,0.0300409,0.0286805,Level4,gm10RSN1119_KOBE_TAZ000
1,2,1,2,-5,0,0.0091043,0.0112129,Level4,gm11RSN1528_CHICHI_TCU101-E
1,2,1,2,-5,0,0.0176517,0.0120162,Level4,gm1RSN6_IMPVALL.I_I-ELC180
1,2,1,2,-5,0,0.011086,0.00978186,Level4,gm2RSN4458_MONTENE.GRO_ULO000
1,2,1,2,-5,0,0.011639,0.0167791,Level4,gm3RSN165_IMPVALL.H_H-CHI012
1,2,1,2,-5,0,0.0237534,0.0137052,Level4,gm4RSN723_SUPER.B_B-PTS225
1,2,1,2,-5,0,0.0236906,0.0178847,Level4,gm5RSN779_LOMAP_LGP000
1,2,1,2,-5,0,0.0202654,0.028235,Level4,gm6RSN828_CAPEMEND_PET000
1,2,1,2,-5,0,0.0327169,0.0263972,Level4,gm7RSN1086_NORTHR_SYL090
1,2,1,2,-5,0,0.0174848,0.0108099,Level4,gm8RSN949_NORTHR_ARL090
1,2,1,2,-5,0,0.0354995,0.0328925,Level4,gm9RSN1120_KOBE_TAK000
1,2,1,2,-5,0,0.0284257,0.0307427,Level5,gm10RSN1119_KOBE_TAZ000
1,2,1,2,-5,0,0.0124535,0.0153232,Level5,gm11RSN1528_CHICHI_TCU101-E
1,2,1,2,-5,0,0.0223239,0.0164261,Level5,gm1RSN6_IMPVALL.I_I-ELC180
1,2,1,2,-5,0,0.0151606,0.0133668,Level5,gm2RSN4458_MONTENE.GRO_ULO000
1,2,1,2,-5,0,0.0155002,0.0214826,Level5,gm3RSN165_IMPVALL.H_H-CHI012
1,2,1,2,-5,0,0.0251757,0.0187003,Level5,gm4RSN723_SUPER.B_B-PTS225
1,2,1,2,-5,0,0.031266,0.021837,Level5,gm5RSN779_LOMAP_LGP000
1,2,1,2,-5,0,0.0226807,0.0411676,Level5,gm6RSN828_CAPEMEND_PET000
1,2,1,2,-5,0,0.0371783,0.0323727,Level5,gm7RSN1086_NORTHR_SYL090
1,2,1,2,-5,0,0.023405,0.0147538,Level5,gm8RSN949_NORTHR_ARL090
1,2,1,2,-5,0,0.0513717,0.0408104,Level5,gm9RSN1120_KOBE_TAK000
1,2,1,2,-5,0,0.0337143,0.0384588,Level6,gm10RSN1119_KOBE_TAZ000
1,2,1,2,-5,0,0.0151937,0.0187171,Level6,gm11RSN1528_CHICHI_TCU101-E
1,2,1,2,-5,0,0.0228621,0.0200028,Level6,gm1RSN6_IMPVALL.I_I-ELC180
1,2,1,2,-5,0,0.0184882,0.0162946,Level6,gm2RSN4458_MONTENE.GRO_ULO000
1,2,1,2,-5,0,0.0185828,0.0253469,Level6,gm3RSN165_IMPVALL.H_H-CHI012
1,2,1,2,-5,0,0.0310244,0.0227684,Level6,gm4RSN723_SUPER.B_B-PTS225
1,2,1,2,-5,0,0.035522,0.026836,Level6,gm5RSN779_LOMAP_LGP000
1,2,1,2,-5,0,0.0272445,0.0455176,Level6,gm6RSN828_CAPEMEND_PET000
1,2,1,2,-5,0,0.0436963,0.0368199,Level6,gm7RSN1086_NORTHR_SYL090
1,2,1,2,-5,0,0.0253148,0.018019,Level6,gm8RSN949_NORTHR_ARL090
1,2,1,2,-5,0,0.166632,0.066811,Level6,gm9RSN1120_KOBE_TAK000
1,2,1,2,-5,0,0.0387452,0.0420543,Level7,gm10RSN1119_KOBE_TAZ000
1,2,1,2,-5,0,0.0181339,0.0229636,Level7,gm11RSN1528_CHICHI_TCU101-E
1,2,1,2,-5,0,0.0240551,0.0237489,Level7,gm1RSN6_IMPVALL.I_I-ELC180
1,2,1,2,-5,0,0.0218635,0.0192041,Level7,gm2RSN4458_MONTENE.GRO_ULO000
1,2,1,2,-5,0,0.0209861,0.0268031,Level7,gm3RSN165_IMPVALL.H_H-CHI012
1,2,1,2,-5,0,0.0367343,0.0261496,Level7,gm4RSN723_SUPER.B_B-PTS225
1,2,1,2,-5,0,0.0361714,0.030286,Level7,gm5RSN779_LOMAP_LGP000
1,2,1,2,-5,0,0.0308947,0.0444613,Level7,gm6RSN828_CAPEMEND_PET000
1,2,1,2,-5,0,0.0501036,0.0455552,Level7,gm7RSN1086_NORTHR_SYL090
1,2,1,2,-5,0,0.0300503,0.0212386,Level7,gm8RSN949_NORTHR_ARL090
1,2,1,2,-5,0,0.172155,0.252889,Level7,gm9RSN1120_KOBE_TAK000
1,2,1,2,-5,0,0.041756,0.0447562,Level8,gm10RSN1119_KOBE_TAZ000
1,2,1,2,-5,0,0.0210907,0.0281807,Level8,gm11RSN1528_CHICHI_TCU101-E
1,2,1,2,-5,0,0.0256342,0.0274121,Level8,gm1RSN6_IMPVALL.I_I-ELC180
1,2,1,2,-5,0,0.0247737,0.0213991,Level8,gm2RSN4458_MONTENE.GRO_ULO000
1,2,1,2,-5,0,0.0218458,0.0279364,Level8,gm3RSN165_IMPVALL.H_H-CHI012
1,2,1,2,-5,0,0.0406768,0.0285793,Level8,gm4RSN723_SUPER.B_B-PTS225
1,2,1,2,-5,0,0.0361866,0.0339597,Level8,gm5RSN779_LOMAP_LGP000
1,2,1,2,-5,0,0.0315968,0.0422267,Level8,gm6RSN828_CAPEMEND_PET000
1,2,1,2,-5,0,0.0553588,0.0551555,Level8,gm7RSN1086_NORTHR_SYL090
1,2,1,2,-5,0,0.0350615,0.0242899,Level8,gm8RSN949_NORTHR_ARL090
1,2,1,2,-5,0,0.248557,0.262059,Level8,gm9RSN1120_KOBE_TAK000
3,4,4,21,-5,0,0.00506965,0.00414449,Level1,gm10RSN1119_KOBE_TAZ000
3,4,4,21,-5,0,0.00132532,0.00161827,Level1,gm11RSN1528_CHICHI_TCU101-E
3,4,4,21,-5,0,0.00254333,0.00173568,Level1,gm1RSN6_IMPVALL.I_I-ELC180
3,4,4,21,-5,0,0.00158517,0.00141987,Level1,gm2RSN4458_MONTENE.GRO_ULO000
3,4,4,21,-5,0,0.0016594,0.00241293,Level1,gm3RSN165_IMPVALL.H_H-CHI012
3,4,4,21,-5,0,0.00421376,0.00197619,Level1,gm4RSN723_SUPER.B_B-PTS225
3,4,4,21,-5,0,0.00398305,0.00252105,Level1,gm5RSN779_LOMAP_LGP000
3,4,4,21,-5,0,0.00333335,0.00485547,Level1,gm6RSN828_CAPEMEND_PET000
3,4,4,21,-5,0,0.00501927,0.00370476,Level1,gm7RSN1086_NORTHR_SYL090
3,4,4,21,-5,0,0.00250076,0.0015438,Level1,gm8RSN949_NORTHR_ARL090
3,4,4,21,-5,0,0.00535511,0.00711058,Level1,gm9RSN1120_KOBE_TAK000
3,4,4,21,-5,0,0.0136602,0.0111424,Level2,gm10RSN1119_KOBE_TAZ000
3,4,4,21,-5,0,0.00352484,0.00433085,Level2,gm11RSN1528_CHICHI_TCU101-E
3,4,4,21,-5,0,0.00684616,0.00463079,Level2,gm1RSN6_IMPVALL.I_I-ELC180
3,4,4,21,-5,0,0.00428917,0.00378852,Level2,gm2RSN4458_MONTENE.GRO_ULO000
3,4,4,21,-5,0,0.00451078,0.00648031,Level2,gm3RSN165_IMPVALL.H_H-CHI012
3,4,4,21,-5,0,0.0112381,0.00530049,Level2,gm4RSN723_SUPER.B_B-PTS225
3,4,4,21,-5,0,0.0108025,0.0068029,Level2,gm5RSN779_LOMAP_LGP000
3,4,4,21,-5,0,0.00901582,0.0130567,Level2,gm6RSN828_CAPEMEND_PET000
3,4,4,21,-5,0,0.0134654,0.00997871,Level2,gm7RSN1086_NORTHR_SYL090
3,4,4,21,-5,0,0.00678197,0.00415523,Level2,gm8RSN949_NORTHR_ARL090
3,4,4,21,-5,0,0.0143487,0.0189698,Level2,gm9RSN1120_KOBE_TAK000
3,4,4,21,-5,0,0.0221451,0.018135,Level3,gm10RSN1119_KOBE_TAZ000
3,4,4,21,-5,0,0.00575442,0.00704322,Level3,gm11RSN1528_CHICHI_TCU101-E
3,4,4,21,-5,0,0.0111733,0.00754249,Level3,gm1RSN6_IMPVALL.I_I-ELC180
3,4,4,21,-5,0,0.00701097,0.00617293,Level3,gm2RSN4458_MONTENE.GRO_ULO000
3,4,4,21,-5,0,0.00736195,0.0105481,Level3,gm3RSN165_IMPVALL.H_H-CHI012
3,4,4,21,-5,0,0.0183055,0.00864563,Level3,gm4RSN723_SUPER.B_B-PTS225
